src/features/ai-assistant/services/admin-model-service.ts(43,11): error TS6133: '_firestore' is declared but its value is never read.
src/features/credit-system/services/balance-sync-service.ts(319,41): error TS7006: Parameter 'userId' implicitly has an 'any' type.
src/features/credit-system/services/balance-sync-service.ts(388,50): error TS7006: Parameter 'transaction' implicitly has an 'any' type.
src/features/credit-system/services/balance-sync-service.ts(478,50): error TS7006: Parameter 'transaction' implicitly has an 'any' type.
src/features/credit-system/services/balance-sync-service.ts(563,50): error TS7006: Parameter 'transaction' implicitly has an 'any' type.
src/features/credit-system/services/balance-sync-service.ts(795,54): error TS7006: Parameter 'snapshot' implicitly has an 'any' type.
src/features/credit-system/services/credit-service.ts(170,50): error TS7006: Parameter 'firestoreTransaction' implicitly has an 'any' type.
src/features/credit-system/services/credit-service.ts(277,50): error TS7006: Parameter 'firestoreTransaction' implicitly has an 'any' type.
src/features/credit-system/services/credit-service.ts(368,50): error TS7006: Parameter 'firestoreTransaction' implicitly has an 'any' type.
src/features/credit-system/services/credit-service.ts(440,50): error TS7006: Parameter 'firestoreTransaction' implicitly has an 'any' type.
src/features/credit-system/services/credit-service.ts(686,48): error TS7006: Parameter 'transaction' implicitly has an 'any' type.
src/features/credit-system/services/ledger-service.ts(406,50): error TS7006: Parameter 'firestoreTransaction' implicitly has an 'any' type.
src/features/credit-system/services/ledger-service.ts(899,63): error TS7006: Parameter 't' implicitly has an 'any' type.
src/features/credit-system/services/ledger-service.ts(943,31): error TS2693: 'ComplianceStatus' only refers to a type, but is being used as a value here.
src/features/credit-system/services/ledger-service.ts(1323,15): error TS2693: 'ComplianceStatus' only refers to a type, but is being used as a value here.
src/features/index.ts(8,1): error TS2308: Module './credit-system' has already exported a member named 'ComplianceResult'. Consider explicitly re-exporting to resolve the ambiguity.
src/features/index.ts(8,1): error TS2308: Module './credit-system' has already exported a member named 'CryptoUtils'. Consider explicitly re-exporting to resolve the ambiguity.
src/features/index.ts(9,1): error TS2308: Module './ai-assistant' has already exported a member named 'AlertSeverity'. Consider explicitly re-exporting to resolve the ambiguity.
src/features/index.ts(9,1): error TS2308: Module './ai-assistant' has already exported a member named 'ModelUsageStats'. Consider explicitly re-exporting to resolve the ambiguity.
src/features/index.ts(9,1): error TS2308: Module './payment-processing' has already exported a member named 'TimeRange'. Consider explicitly re-exporting to resolve the ambiguity.
src/features/notification-system/services/dashboard-service.ts(138,11): error TS6133: '_firestore' is declared but its value is never read.
src/features/notification-system/services/dashboard-service.ts(140,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/notification-system/services/dashboard-service.ts(180,60): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'LogContext | undefined'.
src/features/notification-system/services/index.ts(7,1): error TS2308: Module './notification-service' has already exported a member named 'INotificationDeliveryService'. Consider explicitly re-exporting to resolve the ambiguity.
src/features/notification-system/services/index.ts(8,1): error TS2308: Module './notification-service' has already exported a member named 'INotificationTemplateService'. Consider explicitly re-exporting to resolve the ambiguity.
src/features/notification-system/services/notification-service.ts(28,11): error TS2564: Property '_firestore' has no initializer and is not definitely assigned in the constructor.
src/features/notification-system/services/notification-service.ts(28,11): error TS6133: '_firestore' is declared but its value is never read.
src/features/notification-system/services/notification-service.ts(31,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/notification-system/services/notification-service.ts(31,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/notification-system/services/notification-service.ts(32,11): error TS6133: '_templateService' is declared but its value is never read.
src/features/notification-system/services/notification-service.ts(43,10): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(46,10): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(94,12): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(115,12): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(143,18): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(149,12): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(168,36): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(190,20): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(194,12): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(224,10): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(234,24): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(275,36): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(301,12): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(315,32): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(320,26): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(322,29): error TS7006: Parameter 'doc' implicitly has an 'any' type.
src/features/notification-system/services/notification-service.ts(333,29): error TS7006: Parameter 'doc' implicitly has an 'any' type.
src/features/notification-system/services/notification-service.ts(342,12): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(356,36): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(376,12): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(388,35): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(406,35): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(419,12): error TS2551: Property 'metrics' does not exist on type 'NotificationService'. Did you mean '_metrics'?
src/features/notification-system/services/notification-service.ts(431,24): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(449,41): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/features/notification-system/services/notification-service.ts(450,36): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/features/notification-system/services/notification-service.ts(451,38): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/features/notification-system/services/notification-service.ts(487,26): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(578,16): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-service.ts(594,16): error TS2551: Property 'firestore' does not exist on type 'NotificationService'. Did you mean '_firestore'?
src/features/notification-system/services/notification-template-service.ts(159,32): error TS2345: Argument of type 'NotificationTemplate' is not assignable to parameter of type '{ [x: string]: any; } & AddPrefixToKeys<string, any>'.
  Type 'NotificationTemplate' is not assignable to type 'AddPrefixToKeys<string, any>'.
    Index signature for type '`${string}.${string}`' is missing in type 'NotificationTemplate'.
src/features/notification-system/services/providers/email-provider.ts(12,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/notification-system/services/providers/email-provider.ts(12,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/notification-system/services/providers/email-provider.ts(13,11): error TS6133: '_apiKey' is declared but its value is never read.
src/features/notification-system/services/providers/email-provider.ts(14,11): error TS6133: '_fromEmail' is declared but its value is never read.
src/features/notification-system/services/providers/email-provider.ts(15,11): error TS6133: '_fromName' is declared but its value is never read.
src/features/notification-system/services/providers/email-provider.ts(27,10): error TS2551: Property 'metrics' does not exist on type 'EmailProvider'. Did you mean '_metrics'?
src/features/notification-system/services/providers/email-provider.ts(53,12): error TS2551: Property 'metrics' does not exist on type 'EmailProvider'. Did you mean '_metrics'?
src/features/notification-system/services/providers/email-provider.ts(76,12): error TS2551: Property 'metrics' does not exist on type 'EmailProvider'. Did you mean '_metrics'?
src/features/notification-system/services/providers/sms-provider.ts(12,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/notification-system/services/providers/sms-provider.ts(12,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/notification-system/services/providers/sms-provider.ts(13,11): error TS6133: '_apiKey' is declared but its value is never read.
src/features/notification-system/services/providers/sms-provider.ts(14,11): error TS6133: '_fromNumber' is declared but its value is never read.
src/features/notification-system/services/providers/sms-provider.ts(25,10): error TS2551: Property 'metrics' does not exist on type 'SMSProvider'. Did you mean '_metrics'?
src/features/notification-system/services/providers/sms-provider.ts(66,12): error TS2551: Property 'metrics' does not exist on type 'SMSProvider'. Did you mean '_metrics'?
src/features/notification-system/services/providers/sms-provider.ts(90,12): error TS2551: Property 'metrics' does not exist on type 'SMSProvider'. Did you mean '_metrics'?
src/features/notification-system/services/system-monitoring-service.ts(7,3): error TS2724: '"../types"' has no exported member named 'NotificationService'. Did you mean 'INotificationService'?
src/features/notification-system/services/system-monitoring-service.ts(187,11): error TS2564: Property '_firestore' has no initializer and is not definitely assigned in the constructor.
src/features/notification-system/services/system-monitoring-service.ts(187,11): error TS6133: '_firestore' is declared but its value is never read.
src/features/notification-system/services/system-monitoring-service.ts(190,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/notification-system/services/system-monitoring-service.ts(190,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/notification-system/services/system-monitoring-service.ts(201,10): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(204,10): error TS2551: Property 'metrics' does not exist on type 'SystemMonitoringService'. Did you mean '_metrics'?
src/features/notification-system/services/system-monitoring-service.ts(218,13): error TS2322: Type '{ creditSystemHealth: CreditSystemHealth; modelPerformance: ModelPerformanceMetrics[]; paymentSystemHealth: PaymentSystemHealth; ... 8 more ...; queueDepth?: number | undefined; }' is not assignable to type 'SystemHealthMetrics'.
  Types of property 'cpuUsage' are incompatible.
    Type 'number | undefined' is not assignable to type 'number'.
      Type 'undefined' is not assignable to type 'number'.
src/features/notification-system/services/system-monitoring-service.ts(232,61): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'LogContext | undefined'.
src/features/notification-system/services/system-monitoring-service.ts(258,56): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'LogContext | undefined'.
src/features/notification-system/services/system-monitoring-service.ts(267,18): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(272,18): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(285,33): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(313,33): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(333,35): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(337,59): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'LogContext | undefined'.
src/features/notification-system/services/system-monitoring-service.ts(377,55): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'LogContext | undefined'.
src/features/notification-system/services/system-monitoring-service.ts(384,29): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(408,29): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(430,35): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(438,56): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'LogContext | undefined'.
src/features/notification-system/services/system-monitoring-service.ts(468,65): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'LogContext | undefined'.
src/features/notification-system/services/system-monitoring-service.ts(516,64): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'LogContext | undefined'.
src/features/notification-system/services/system-monitoring-service.ts(541,42): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(545,62): error TS7006: Parameter 'doc' implicitly has an 'any' type.
src/features/notification-system/services/system-monitoring-service.ts(549,63): error TS7006: Parameter 'doc' implicitly has an 'any' type.
src/features/notification-system/services/system-monitoring-service.ts(565,36): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(590,38): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(595,58): error TS7006: Parameter 'doc' implicitly has an 'any' type.
src/features/notification-system/services/system-monitoring-service.ts(598,54): error TS7006: Parameter 'doc' implicitly has an 'any' type.
src/features/notification-system/services/system-monitoring-service.ts(601,55): error TS7006: Parameter 'doc' implicitly has an 'any' type.
src/features/notification-system/services/system-monitoring-service.ts(631,16): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(672,16): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(683,16): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(737,16): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(766,16): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/notification-system/services/system-monitoring-service.ts(776,16): error TS2551: Property 'firestore' does not exist on type 'SystemMonitoringService'. Did you mean '_firestore'?
src/features/payment-processing/events/payment-events.ts(8,1): error TS6133: 'IStructuredLogger' is declared but its value is never read.
src/features/payment-processing/events/payment-events.ts(9,1): error TS6133: 'IMetricsCollector' is declared but its value is never read.
src/features/payment-processing/index.ts(8,1): error TS2308: Module './services' has already exported a member named 'WalletValidationResult'. Consider explicitly re-exporting to resolve the ambiguity.
src/features/payment-processing/services/payment-orchestrator.ts(9,3): error TS6133: 'Web3PaymentRequest' is declared but its value is never read.
src/features/payment-processing/services/payment-orchestrator.ts(14,3): error TS6133: 'PaymentErrorType' is declared but its value is never read.
src/features/payment-processing/services/payment-orchestrator.ts(16,63): error TS6133: 'PaymentConfirmationData' is declared but its value is never read.
src/features/payment-processing/services/payment-orchestrator.ts(205,11): error TS6133: '_webhookHandler' is declared but its value is never read.
src/features/payment-processing/services/payment-orchestrator.ts(207,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/payment-processing/services/payment-orchestrator.ts(207,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/payment-processing/services/payment-orchestrator.ts(221,10): error TS2551: Property 'metrics' does not exist on type 'PaymentOrchestrator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-orchestrator.ts(252,14): error TS2551: Property 'metrics' does not exist on type 'PaymentOrchestrator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-orchestrator.ts(287,12): error TS2551: Property 'metrics' does not exist on type 'PaymentOrchestrator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-orchestrator.ts(313,12): error TS2551: Property 'metrics' does not exist on type 'PaymentOrchestrator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-orchestrator.ts(363,12): error TS2551: Property 'metrics' does not exist on type 'PaymentOrchestrator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-orchestrator.ts(528,12): error TS2551: Property 'metrics' does not exist on type 'PaymentOrchestrator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-validator.ts(91,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/payment-processing/services/payment-validator.ts(91,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/payment-processing/services/payment-validator.ts(92,11): error TS6133: '_fraudThreshold' is declared but its value is never read.
src/features/payment-processing/services/payment-validator.ts(100,10): error TS2551: Property 'metrics' does not exist on type 'PaymentValidator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-validator.ts(174,12): error TS2551: Property 'metrics' does not exist on type 'PaymentValidator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-validator.ts(199,12): error TS2551: Property 'metrics' does not exist on type 'PaymentValidator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-validator.ts(300,11): error TS6133: 'startTime' is declared but its value is never read.
src/features/payment-processing/services/payment-validator.ts(389,12): error TS2551: Property 'metrics' does not exist on type 'PaymentValidator'. Did you mean '_metrics'?
src/features/payment-processing/services/payment-validator.ts(547,5): error TS2322: Type 'string | boolean' is not assignable to type 'boolean'.
  Type 'string' is not assignable to type 'boolean'.
src/features/payment-processing/services/payment-validator.ts(597,34): error TS2322: Type '"identity_verification"' is not assignable to type 'VerificationType'.
src/features/payment-processing/services/payment-validator.ts(597,59): error TS2322: Type '"phone_verification"' is not assignable to type 'VerificationType'.
src/features/payment-processing/services/payment-validator.ts(604,34): error TS2322: Type '"two_factor_auth"' is not assignable to type 'VerificationType'.
src/features/payment-processing/services/payment-validator.ts(604,53): error TS2322: Type '"email_verification"' is not assignable to type 'VerificationType'.
src/features/payment-processing/services/paypal-service.ts(51,11): error TS6133: '_clientId' is declared but its value is never read.
src/features/payment-processing/services/paypal-service.ts(52,11): error TS6133: '_clientSecret' is declared but its value is never read.
src/features/payment-processing/services/paypal-service.ts(55,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/payment-processing/services/paypal-service.ts(55,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/payment-processing/services/paypal-service.ts(68,10): error TS2551: Property 'metrics' does not exist on type 'PayPalService'. Did you mean '_metrics'?
src/features/payment-processing/services/paypal-service.ts(126,12): error TS2551: Property 'metrics' does not exist on type 'PayPalService'. Did you mean '_metrics'?
src/features/payment-processing/services/paypal-service.ts(146,12): error TS2551: Property 'metrics' does not exist on type 'PayPalService'. Did you mean '_metrics'?
src/features/payment-processing/services/paypal-service.ts(224,12): error TS2551: Property 'metrics' does not exist on type 'PayPalService'. Did you mean '_metrics'?
src/features/payment-processing/services/paypal-service.ts(247,12): error TS2551: Property 'metrics' does not exist on type 'PayPalService'. Did you mean '_metrics'?
src/features/payment-processing/services/paypal-service.ts(289,12): error TS2551: Property 'metrics' does not exist on type 'PayPalService'. Did you mean '_metrics'?
src/features/payment-processing/services/paypal-service.ts(350,12): error TS2551: Property 'metrics' does not exist on type 'PayPalService'. Did you mean '_metrics'?
src/features/payment-processing/services/paypal-service.ts(361,12): error TS2551: Property 'metrics' does not exist on type 'PayPalService'. Did you mean '_metrics'?
src/features/payment-processing/services/saga-manager.ts(8,3): error TS6133: 'SagaStep' is declared but its value is never read.
src/features/payment-processing/services/saga-manager.ts(9,3): error TS6133: 'CompensationStep' is declared but its value is never read.
src/features/payment-processing/services/saga-manager.ts(141,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/payment-processing/services/saga-manager.ts(141,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/payment-processing/services/saga-manager.ts(148,10): error TS2551: Property 'metrics' does not exist on type 'SagaManager'. Did you mean '_metrics'?
src/features/payment-processing/services/saga-manager.ts(195,12): error TS2551: Property 'metrics' does not exist on type 'SagaManager'. Did you mean '_metrics'?
src/features/payment-processing/services/saga-manager.ts(216,12): error TS2551: Property 'metrics' does not exist on type 'SagaManager'. Did you mean '_metrics'?
src/features/payment-processing/services/saga-manager.ts(297,12): error TS2551: Property 'metrics' does not exist on type 'SagaManager'. Did you mean '_metrics'?
src/features/payment-processing/services/saga-manager.ts(324,12): error TS2551: Property 'metrics' does not exist on type 'SagaManager'. Did you mean '_metrics'?
src/features/payment-processing/services/saga-manager.ts(444,12): error TS2551: Property 'metrics' does not exist on type 'SagaManager'. Did you mean '_metrics'?
src/features/payment-processing/services/stripe-service.ts(10,3): error TS6133: 'PaymentError' is declared but its value is never read.
src/features/payment-processing/services/stripe-service.ts(11,3): error TS6133: 'PaymentErrorType' is declared but its value is never read.
src/features/payment-processing/services/stripe-service.ts(131,11): error TS6133: '_stripe' is declared but its value is never read.
src/features/payment-processing/services/stripe-service.ts(132,11): error TS6133: '_webhookSecret' is declared but its value is never read.
src/features/payment-processing/services/stripe-service.ts(134,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/payment-processing/services/stripe-service.ts(134,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/payment-processing/services/stripe-service.ts(146,10): error TS2551: Property 'metrics' does not exist on type 'StripeService'. Did you mean '_metrics'?
src/features/payment-processing/services/stripe-service.ts(199,12): error TS2551: Property 'metrics' does not exist on type 'StripeService'. Did you mean '_metrics'?
src/features/payment-processing/services/stripe-service.ts(219,12): error TS2551: Property 'metrics' does not exist on type 'StripeService'. Did you mean '_metrics'?
src/features/payment-processing/services/stripe-service.ts(291,12): error TS2551: Property 'metrics' does not exist on type 'StripeService'. Did you mean '_metrics'?
src/features/payment-processing/services/stripe-service.ts(314,12): error TS2551: Property 'metrics' does not exist on type 'StripeService'. Did you mean '_metrics'?
src/features/payment-processing/services/stripe-service.ts(360,12): error TS2551: Property 'metrics' does not exist on type 'StripeService'. Did you mean '_metrics'?
src/features/payment-processing/services/stripe-service.ts(431,12): error TS2551: Property 'metrics' does not exist on type 'StripeService'. Did you mean '_metrics'?
src/features/payment-processing/services/stripe-service.ts(443,12): error TS2551: Property 'metrics' does not exist on type 'StripeService'. Did you mean '_metrics'?
src/features/payment-processing/services/traditional-payments.ts(10,3): error TS6133: 'PaymentStatus' is declared but its value is never read.
src/features/payment-processing/services/traditional-payments.ts(11,3): error TS6133: 'PaymentError' is declared but its value is never read.
src/features/payment-processing/services/traditional-payments.ts(12,3): error TS6133: 'PaymentErrorType' is declared but its value is never read.
src/features/payment-processing/services/traditional-payments.ts(14,26): error TS6133: 'StripePaymentIntent' is declared but its value is never read.
src/features/payment-processing/services/traditional-payments.ts(15,26): error TS6133: 'PayPalOrder' is declared but its value is never read.
src/features/payment-processing/services/traditional-payments.ts(95,11): error TS2564: Property 'stripeService' has no initializer and is not definitely assigned in the constructor.
src/features/payment-processing/services/traditional-payments.ts(95,11): error TS6133: 'stripeService' is declared but its value is never read.
src/features/payment-processing/services/traditional-payments.ts(98,11): error TS2564: Property '_metrics' has no initializer and is not definitely assigned in the constructor.
src/features/payment-processing/services/traditional-payments.ts(98,11): error TS6133: '_metrics' is declared but its value is never read.
src/features/payment-processing/services/traditional-payments.ts(106,10): error TS2551: Property '_stripeService' does not exist on type 'TraditionalPaymentService'. Did you mean 'stripeService'?
src/features/payment-processing/services/traditional-payments.ts(109,10): error TS2551: Property 'metrics' does not exist on type 'TraditionalPaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/traditional-payments.ts(142,12): error TS2551: Property 'metrics' does not exist on type 'TraditionalPaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/traditional-payments.ts(166,12): error TS2551: Property 'metrics' does not exist on type 'TraditionalPaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/traditional-payments.ts(177,38): error TS2551: Property '_stripeService' does not exist on type 'TraditionalPaymentService'. Did you mean 'stripeService'?
src/features/payment-processing/services/traditional-payments.ts(226,31): error TS2551: Property '_stripeService' does not exist on type 'TraditionalPaymentService'. Did you mean 'stripeService'?
src/features/payment-processing/services/traditional-payments.ts(237,12): error TS2551: Property 'metrics' does not exist on type 'TraditionalPaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/traditional-payments.ts(263,12): error TS2551: Property 'metrics' does not exist on type 'TraditionalPaymentService'. Did you mean '_metrics'?
src/features/payment-processing/services/traditional-payments.ts(291,43): error TS2551: Property '_stripeService' does not exist on type 'TraditionalPaymentService'. Did you mean 'stripeService'?
src/features/payment-processing/services/traditional-payments.ts(315,12): error TS2551: Property 'metrics' does not exist on type 'TraditionalPaymentService'. Did you mean '_metrics'?
